"DATE","TITLE","ACTIVITY"
"Jan 14, 2017 07:56","Part 2i - Summary of Contributions and Transfers Received",""

SUMMARY_DATA
"Client_id","Registered_association","Fiscal_period","Total_monetary_contributions-Contributions_from_individuals","Total_non-monetary_contributions-Contributions_from_individuals","Total_contributions-Contributions_from_individuals","Total_number_of_contributors-Contributions_from_individuals","Total_monetary_contributions-Contributions_from_corporations","Total_non-monetary_contributions-Contributions_from_corporations","Total_contributions-Contributions_from_corporations","Total_number_of_contributors-Contributions_from_corporations","Total_monetary_contributions-Contributions_from_trade_unions","Total_non-monetary_contributions-Contributions_from_trade_unions","Total_contributions-Contributions_from_trade_unions","Total_number_of_contributors-Contributions_from_trade_unions","Total_monetary_contributions-Contributions_from_associations","Total_contributions-Contributions_from_associations","Total_number_of_contributors-Contributions_from_associations","Total_monetary_contributions-Total_of_all_contributions","Total_non-monetary_contributions-Total_of_all_contributions","Total_contributions-Total_of_all_contributions","Total_number_of_contributions-Total_of_all_contributions","Total_monetary_transfers-Transfers_received_from_registered_parties","Total_non-monetary_transfers-Transfers_received_from_registered_parties","Total_transfers-Transfers_received_from_registered_parties","Total_monetary_transfers-Transfers_received_from_registered_associations","Total_non-monetary_transfers-Transfers_received_from_registered_associations","Total_transfers-Transfers_received_from_registered_associations","Total_monetary_transfers-Transfers_received_from_candidates","Total_non-monetary_transfers-Transfers_received_from_candidates","Total_transfers-Transfers_received_from_candidates","Total_monetary_transfers-Transfers_received_from_leadership_contestants","Total_transfers-Transfers_received_from_leadership_contestants","Total_monetary_transfers-Transfers_received_from_nomination_contestants","Total_transfers-Transfers_received_from_nomination_contestants","Total_monetary_transfers-Total_transfers_received","Total_non-monetary_transfers-Total_transfers_received","Total_transfers-Total_transfers_received","Total_monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_non-monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received"
"3515","Beaches--East York Federal Liberal Association","2004","","","","","","","","","","","","","","","","","","","","","","","93000","","","","","","","","","","93000","","","93000","",""
"6194","Beaches--East York Federal Liberal Association","2005","42385","","42385","98","27100","","27100","57","","","","","","","","69485","","69485","155","","","","","","","19363.89","","19363.89","","","","","19363.89","","1936.89","88848.89","","88848.89"
"9931","Beaches--East York Federal Liberal Association","2006","","","","","","","","","","","","","","","","","","","","","","","","","","5176.74","","","","","","","5176.74","","","5176.74","",""
"3155","Beaches--East York Federal NDP Riding Association","2004","38029","","38029","246","240","","240","2","","","0","0","","","0","38269","0","38269","248","820","","820","","","0","5954.01","","5954.01","","0","","0","6774.01","0","6774.01","45043.01","0","45043.01"
"6265","Beaches--East York Federal NDP Riding Association","2005","56155","","56155","303","400","","400","2","","","","","","","","56555","","56555","305","7089","","7089","","","","","","","","","","","7089","","7089","63644","","63644"
"10002","Beaches--East York Federal NDP Riding Association","2006","10725","0","10725","38","0","0","0","0","500","0","500","1","0","0","0","11225","0","11225","39","17286.11","0","17286.11","0","0","0","29903.98","7809.61","37713.59","0","0","0","0","47190.09","7809.61","54999.7","58415.09","7809.61","66224.7"
"3214","Beauce Federal NDP Riding Association","2004","5","","5","1","","","0","0","","","0","0","","","0","5","0","5","1","","","0","","","0","","","0","","0","","0","0","0","0","5","0","5"
"6834","Beauce Federal NDP Riding Association","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10569","Beauce Federal NDP Riding Association","2006","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","","5.75","","","","","5.75","","5.75","5.75","","5.75"
"2883","Beauharnois--Salaberry Conservative Association","2004","800","","800","2","","","","","","","","","","","","800","","800","2","483.87","","483.87","","","","","","","","","","","483.87","","483.87","1283.87","","1283.87"
"6820","Beauharnois--Salaberry Conservative Association","2005","1000","","1000","1","","","","","","","","","","","","1000","","1000","1","357.19","","357.19","","","","","","","","","","","357.19","","357.19","1357.19","","1357.19"
"10555","Beauharnois--Salaberry Conservative Association","2006","665","","665","4","100","","100","1","","","","","","","","765","","765","5","23783","","23783","","","","6000","","6000","","","","","29783","","29783","30548","","30548"
"11211","Beauharnois--Salaberry Federal Green Party Association","2006","1450","","1450","25","500","","500","1","","","0","0","","","0","1950","0","1950","26","361.49","","361.49","","","0","","","0","","0","","0","361.49","0","361.49","2311.49","0","2311.49"
"3611","Beauharnois--Salaberry Federal Liberal Association","2004","8000","","8000","24","9600","","9600","17","","","","","800","800","2","18400","","18400","43","700","","700","","","","","","","","","","","700","","700","19100","","19100"
"6077","Beauharnois--Salaberry Federal Liberal Association","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9814","Beauharnois--Salaberry Federal Liberal Association","2006","","","","","","","","","","","","","","","","","","","","","","","","","","15023.28","","15023.28","","","","","15023.28","","15023.28","15023.28","","15023.28"
"2884","Beauport--Limoilou Conservative Association","2004","4615","","4615","208","","","","","","","","","","","","4615","","4615","208","","","","100","0","100","","","","","","","","100","0","100","4715","","4715"
"6776","Beauport--Limoilou Conservative Association","2005","36480","","36480","44","1600","","1600","2","","","","","","","","38080","","38080","46","328.4","","328.4","10000","","10000","","","","","","","","10328.4","","10328.4","48408.4","","48408.4"
"10511","Beauport--Limoilou Conservative Association","2006","1900","","1900","4","","","","","","","","","","","","1900","","1900","4","","","","","","","","","","","","","","","","","1900","","1900"
"2894","Beauséjour Conservative Association","2004","3436.49","","3436.49","703","","","0","0","","","0","0","","","0","3436.49","0","3436.49","703","2932.6","","2932.6","","","0","","","0","","0","","0","2932.6","0","2932.6","6369.09","0","6369.09"
"6825","Beauséjour Conservative Association","2005","2045.4","","2045.4","241","305.2","","305.2","5","","","0","0","","","0","2350.6","0","2350.6","246","764.04","","764.04","","","0","","","0","","0","","0","764.04","0","764.04","3114.64","0","3114.64"
"10560","Beauséjour Conservative Association","2006","2336.2","","2336.2","250","937.93","","937.93","13","","","0","0","","","0","3274.13","0","3274.13","263","1765.5","","1765.5","","","0","","","0","","0","","0","1765.5","0","1765.5","5039.63","0","5039.63"
"6110","Beauséjour Federal Liberal Association","2005","52175","","52175","235","42675","","42675","176","","","","","","","","94850","","94850","411","","","","","","","38846.17","","38846.17","","","","","38846.17","","38846.17","","","133696.17"
"9847","Beauséjour Federal Liberal Association","2006","36111.83","","36111.83","163","31059.17","","31059.17","104","","","","","","","","67171","","67171","267","","","","","","","","","","","","","","","","","67171","","67171"
"3913","Beauséjour Federal NDP Riding Association","2004","1550","","1550","7","","","","","","","","","","","","1550","","1550","7","","","","","","","","","","","","","","","","","1550","","1550"
"7011","Beauséjour Federal NDP Riding Association","2005","6106","","6106","27","","","0","0","","","0","0","","","0","6106","0","6106","27","1409.52","","1409.52","","","0","","","0","","0","40","40","1449.52","0","1449.52","7555.52","0","7555.52"
"10745","Beauséjour Federal NDP Riding Association","2006","3000","","3000","8","","","","","","","","","","","","3000","","3000","8","","","","","","","","","","","","","","","","","3000","","3000"
"3614","Berthier--Maskinongé Federal Liberal Association","2004","1650","","1650","14","200","","200","1","","","","","","","","1850","","1850","15","","","","","","","","","","","","","","","","","1850","","1850"
"6074","Berthier--Maskinongé Federal Liberal Association","2005","10610","","10610","74","","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","10610","","10610"
"9811","Berthier--Maskinongé Federal Liberal Association","2006","1650","","1650","30","","","","","","","","","","","","1650","","1650","30","","","","","","","","","","","","","","","","","1650","","1650"
"2761","Blackstrap Conservative Association","2004","671","","671","17","","","","","","","","","","","","671","","671","17","2246","","2246","","","","","","","","","","","2246","","2246","2917","0","2917"
"6790","Blackstrap Conservative Association","2005","23205","","23205","149","","","","","","","","","","","","23205","","23205","149","","","","","","","","","","","","","","","","","23205","","23205"
"10525","Blackstrap Conservative Association","2006","9175","0","9175","54","235","0","235","3","0","0","0","0","0","0","0","9410","0","9410","57","15233.26","0","15233.26","0","0","0","0","0","0","0","0","0","0","15233.26","0","15233.26","24643.26","0","24643.26"
"3418","Blackstrap Federal Liberal Association","2004","2560","","2560","2","","","0","0","","","0","0","","","0","2560","0","2560","2","6522.5","","6522.5","","","0","","","0","","0","","0","6522.5","0","6522.5","9082.5","0","9082.5"
"6401","Blackstrap Federal Liberal Association","2005","","","","","","","","","","","","","","","","","","","","122.5","","122.5","","","","7634.41","","7634.41","","","","","7756.91","","7756.91","7756.91","","7756.91"
"10138","Blackstrap Federal Liberal Association","2006","250","","250","1","","","","","","","","","","","","250","","250","1","","","","","","","1734.09","","1734.09","","","","","1734.09","","1734.09","1984.09","","1984.09"
"3066","Blackstrap Federal NDP Riding Association","2004","31085","","31085","192","","","","","","","","","","","","31085","","31085","192","","","","","","","","","","","","","","","","","31085","","31085"
"6342","Blackstrap Federal NDP Riding Association","2005","6740","","6740","52","","","0","0","","","0","0","","","0","6740","0","6740","52","10001.84","","10001.84","","","0","2467.72","","2467.72","","0","","0","12469.56","0","12469.56","19209.56","0","19209.56"
"10079","Blackstrap Federal NDP Riding Association","2006","125","","125","2","","","0","0","","","0","0","","","0","125","0","125","2","1139.14","","1139.14","","","0","2801.76","","2801.76","","0","","0","3940.9","0","3940.9","4065.9","0","4065.9"
"3292","Bloc Québécois Abitibi--Témiscamingue","2004","20139","","20139","156","4984","","4984","22","","","","","","","","25123","","25123","178","2958","","2958","","","","","","","","","","","2958","","2958","28081","","28081"
"6505","Bloc Québécois Abitibi--Témiscamingue","2005","13735","","13735","65","7505","","7505","10","","","","","","","","21240","","21240","75","7411.68","","7411.68","","","","","","","","","","","7411.68","","7411.68","28651.68","","28651.68"
"10242","Bloc Québécois Abitibi--Témiscamingue","2006","18790","0","18790","84","7250","0","7250","12","0","0","0","0","0","0","0","26040","0","26040","96","6390.85","0","6390.85","0","0","0","0","0","0","0","0","0","0","6390.85","0","6390.85","32430.85","0","32430.85"
"3318","Bloc Québécois Alfred-Pellan","2004","14810","","14810","146","1300","","1300","2","","","0","0","","","0","16110","0","16110","148","9052.91","","9052.91","","","0","","","0","","0","","0","9052.91","0","9052.91","25162.91","0","25162.91"
"6155","Bloc Québécois Alfred-Pellan","2005","8815","","8815","75","600","","600","4","","","0","0","","","0","9415","0","9415","79","13091.37","","13091.37","","","0","12674.82","","12674.82","","0","","0","25766.19","0","25766.19","35181.19","0","35181.19"
"9892","Bloc Québécois Alfred-Pellan","2006","13195","","13195","309","3050","","3050","10","","","","","","","","16245","","16245","319","34913.89","","34913.89","","","","","","","","","","","34913.89","","34913.89","51158.89","","51158.89"
"3339","Bloc Québécois Beauharnois--Salaberry","2004","19938.51","","19938.51","95","7932","","7932","25","","","","","","","","27870.51","","27870.51","120","6159.27","","6159.27","","","","","","","","","","","6159.27","","6159.27","34029.78","","34029.78"
"6137","Bloc Québécois Beauharnois--Salaberry","2005","7715.25","","7715.25","281","3000.2","","3000.2","20","","","","","","","","10715.45","","10715.45","301","19211.41","","","","","","2497.36","","","","","","","21708.77","","","32424.22","",""
"9874","Bloc Québécois Beauharnois--Salaberry","2006","21612.21","516.72","22128.93","495","5339","4296.99","9635.99","121","128","25","153","2","","","","27079.21","4838.71","31917.92","618","2782.62","","","825","","","11250.84","","","","","","","14858.46","","","41937.67","4838.71","46776.38"
"2911","Bloc Québécois Berthier--Maskinongé","2004","9050","","9050","48","350","","350","2","","","0","0","","","0","9400","0","9400","50","17378.52","","17378.52","","","0","","","0","","0","","0","17378.52","0","17378.52","26778.52","0","26778.52"
"6818","Bloc Québécois Berthier--Maskinongé","2005","14322","","14322","85","3339","","3339","25","","","0","0","","","0","17661","0","17661","110","8916","","8916","","","0","","","0","","0","","0","8916","0","8916","26577","0","26577"
"10553","Bloc Québécois Berthier--Maskinongé","2006","15879","","15879","202","3256","","3256","30","","","","","","","","19135","","19135","232","6594.28","","6594.28","","","","16403.54","","16403.54","","","","","22997.82","","22997.82","42132.82","","42132.82"
"3304","Bloc Québécois Chicoutimi--Le Fjord","2004","29322","","29322","180","5575","","5575","18","","","","","","","","34897","","34897","198","1661.78","","1661.78","","","","","","","","","10.1","10.1","1671.88","","1671.88","36568.88","","36568.88"
"6131","Bloc Québécois Chicoutimi--Le Fjord","2005","28865","","28865","156","6100","","6100","27","","","","","","","","34965","","34965","183","4399.22","","4399.22","","","","","","","","","","","4399.22","","4399.22","39364.22","","39364.22"
"9868","Bloc Québécois Chicoutimi--Le Fjord","2006","27639","","27639","190","8970","","8970","32","","","","","","","","36609","","36609","222","","","","16057.94","","16057.94","41147.53","","41147.53","","","","","57205.47","0","57205.47","93814.47","","93814.47"
"3305","Bloc Québécois Compton--Stanstead","2004","7365","","7365","99","405","","405","4","","","0","0","","","0","7770","0","7770","103","1266","","1266","","","0","","","0","","0","","0","1266","0","1266","9036","0","9036"
"6147","Bloc Québécois Compton--Stanstead","2005","14553.69","","14553.69","132","2600","","2600","20","","","0","0","","","0","17153.69","0","17153.69","152","5923.14","","5923.14","","","0","","","0","","0","","0","5923.14","0","5923.14","23076.83","0","23076.83"
"9884","Bloc Québécois Compton--Stanstead","2006","19262","","19262","121","3522.18","","3522.18","22","","","0","0","","","0","22784.18","0","22784.18","143","1390","","1390","0","","0","","","0","","0","","0","1390","0","1390","24174.18","0","24174.18"
"3288","Bloc Québécois de Bas-Richelieu--Nicolet--Bécancour","2004","52302.5","","52302.5","780","15478","","15478","152","","","","","","","","67780.5","","67780.5","932","7296.04","","7296.04","","","","1886.08","","1886.08","","","","","9182.12","","9182.12","76962.62","","76962.62"
"6142","Bloc Québécois de Bas-Richelieu--Nicolet--Bécancour","2005","27903.25","","27903.25","478","5460","","5460","47","","","0","0","","","0","33363.25","0","33363.25","525","43295.52","","43295.52","","","0","1000","","1000","","0","","0","44295.52","0","44295.52","77658.77","0","77658.77"
"9879","Bloc Québécois de Bas-Richelieu--Nicolet--Bécancour","2006","26517","","26517","300","19415","","19415","82","","","0","0","","","0","45932","0","45932","382","54656.3","","54656.3","","","0","2192.3","","2192.3","","0","","0","56848.6","0","56848.6","102780.6","0","102780.6"
"7112","Bloc Québécois de Brome--Missisquoi","2005","23053","","23053","211","","","0","0","","","0","0","","","0","23053","0","23053","211","19423.14","","19423.14","","","0","1560.92","","1560.92","","0","","0","20984.06","0","20984.06","44037.06","0","44037.06"
"10844","Bloc Québécois de Brome--Missisquoi","2006","26930","0","26930","164","965","0","965","7","0","0","0","0","0","0","0","27895","0","27895","171","6541.88","0","6541.88","11496.97","0","11496.97","8474.33","0","8474.33","0","0","0","0","26513.18","0","26513.18","54408.18","0","54408.18"
"3308","Bloc Québécois de Gaspésie--Îles-de-la-Madeleine","2004","24780","","24780","132","7950","","7950","14","","","","","","","","32730","","","146","2007.25","","2007.25","2870","","2870","89.81","","89.81","","","","","4967.06","","4967.06","37697.06","","37697.06"
"6135","Bloc Québécois de Gaspésie--Îles-de-la-Madeleine","2005","17615","","17615","16","500","","500","1","","","","","","","","18115","","18115","17","4836.09","","4836.09","25852.15","","25852.15","","","","","","","","30688.24","","30688.24","48803.24","","48803.24"
"9872","Bloc Québécois de Gaspésie--Îles-de-la-Madeleine","2006","17360","0","17360","44","0","0","0","0","0","0","0","0","0","0","0","17360","0","17360","44","3805.24","0","3805.24","0","0","0","0","0","0","0","0","0","0","3805.24","0","3805.24","21165.24","0","21165.24"
"3312","Bloc Québécois de Joliette","2004","20669.97","","20669.97","368","14023.87","","14023.87","62","1920","","1920","8","","","0","36613.84","0","36613.84","438","17443","","17443","","","0","2325.08","","2325.08","","0","","0","19768.08","0","19768.08","56381.92","0","56381.92"
"6504","Bloc Québécois de Joliette","2005","18235","","18235","264","3850","","3850","20","500","","500","2","","","0","22585","0","22585","286","4632","","4632","","","0","799.26","","799.26","","0","","0","5431.26","0","5431.26","28016.26","0","28016.26"
"10241","Bloc Québécois de Joliette","2006","19137","","19137","153","7323","","7323","25","380","","380","1","","","0","26840","0","26840","179","19257.94","","19257.94","","","0","","","0","","0","","0","19257.94","0","19257.94","46097.94","0","46097.94"
"3317","Bloc Québécois de Laval","2004","22536.58","","22536.58","284","2746.31","","2746.31","6","","","","","","","","25282.89","","25282.89","290","4220.2","600","4820.2","","","","","","","","","","","4220.2","600","4820.2","29503.09","600","30103.09"
"6146","Bloc Québécois de Laval","2005","18832.34","","18832.34","177","3623.6","","3623.6","11","","","","","","","","22455.94","","22455.94","188","7411.8","","7411.8","","","","","","","","","","","7411.8","","7411.8","29867.74","","29867.74"
"9883","Bloc Québécois de Laval","2006","27520","","27520","81","3950","","3950","7","","","","","","","","31470","","31470","88","10903.35","","10903.35","1700","","1700","341.61","","341.61","","","","","12944.96","","12944.96","44414.96","","44414.96"
"11180","Bloc Québécois de Laval--Les Îles","2006","6855","","6855","23","1000","","1000","3","","","","","","","","7855","","7855","26","4136.53","","4136.53","","","","","","","","","","","4136.53","","4136.53","11991.53","","11991.53"
"7114","Bloc Québécois de Lévis--Bellechasse","2005","12967.04","","12967.04","119","3034.96","","3034.96","20","","","","","","","","16002","","16002","139","5537.01","","5537.01","","","","642.38","","642.38","","","","","6179.39","","6179.39","22181.39","","22181.39"
"10846","Bloc Québécois de Lévis--Bellechasse","2006","2786.4","","2786.4","77","","","","","","","","","","","","2786.4","","2786.4","77","","","","","","","3800","","3800","","","","","3800","","3800","6586.4","","6586.4"
"3319","Bloc Québécois de Longueuil--Pierre-Boucher","2004","4750","","4750","9","1150","","1150","4","","","","","","","","5900","","5900","13","7121.75","","7121.75","2737","","2737","","","","","","","","9858.75","","9858.75","15758.75","","15758.75"
"6156","Bloc Québécois de Longueuil--Pierre-Boucher","2005","16813.39","","16813.39","11","2250","","2250","3","150","","150","1","","","","19213.39","","19213.39","15","10080.76","","10080.76","","","","","","","","","","","10080.76","","10080.76","29294.15","","29294.15"
"9893","Bloc Québécois de Longueuil--Pierre-Boucher","2006","5676","","5676","65","300","","300","1","","","","","","","","5976","","5976","66","10093.72","","10093.72","","","","","","","","","","","10093.72","","10093.72","16069.72","","16069.72"
"3297","Bloc Québécois de Louis-Hébert","2004","1830","","1830","39","","","","","","","","","","","","1830","","1830","39","35660.13","","35660.13","","","","3333","","3333","","","","","38993.13","","38993.13","40823.13","","40823.13"
"6143","Bloc Québécois de Louis-Hébert","2005","6459","","6459","270","100","","100","1","","","0","0","","","0","6559","0","6559","271","21817.42","","21817.42","","","0","5030.2","","5030.2","","0","","0","26847.62","0","26847.62","33406.62","0","33406.62"
"9880","Bloc Québécois de Louis-Hébert","2006","1300","","1300","15","","","","","","","","","","","","1300","","1300","15","12693","","12693","","","","15587.58","","15587.58","","","","","28280.58","","28280.58","29580.58","","29580.58"
"3282","Bloc Québécois de Manicouagan","2004","19629","","19629","157","3643","","3643","23","250","","250","2","","","","23522","","23522","182","","","","","","","","","","","","","","","","","23522","","23522"
"6144","Bloc Québécois de Manicouagan","2005","25597.4","","25597.4","172","6135","","6135","38","470","","470","3","","","0","32202.4","0","32202.4","213","","","0","","","0","","","0","","0","","0","0","0","0","32202.4","0","32202.4"
"9881","Bloc Québécois de Manicouagan","2006","24621.9","0","24621.9","114","3371.5","0","3371.5","21","125","0","125","1","0","0","0","28118.4","0","28118.4","136","4880","0","4880","0","0","0","11253.14","0","11253.14","0","0","0","0","16133.14","0","16133.14","44251.54","0","44251.54"
"7125","Bloc Québécois de Marc-Aurèle-Fortin","2005","12350","","12350","38","1000","","1000","1","","","","","","","","13350","","13350","39","49002.75","","49002.75","","","","110.88","","110.88","","","","","49113.63","","49113.63","62463.63","","62463.63"
"10859","Bloc Québécois de Marc-Aurèle-Fortin","2006","32420","","32420","99","2000","","2000","2","","","","","","","","34420","","34420","101","8378.17","","8378.17","","","","18965.35","","18965.35","","","","","27343.52","","27343.52","61763.52","","61763.52"
"3314","Bloc Québécois de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","2004","22712.2","","22712.2","185","9075","","9075","23","","","","","","","","31787.2","","31787.2","208","5836.49","","5836.49","","","","","","","","","","","5836.49","","5836.49","37623.69","","37623.69"
"6145","Bloc Québécois de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","2005","16578","","16578","184","7735","","7735","24","","","","","","","","24313","","24313","208","39285.95","","39285.95","","","","","","","","","","","39285.95","","39285.95","63598.95","","63598.95"
"9882","Bloc Québécois de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","2006","15954.8","0","15954.8","114","5625","0","5625","21","0","0","0","0","0","0","0","21579.8","0","21579.8","135","7026.27","0","7026.27","0","0","0","0","0","0","0","0","0","0","7026.27","0","7026.27","28606.07","0","28606.07"
"3287","Bloc Québécois de Repentigny","2004","18245","","18245","114","7323.75","0","7323.75","26","","","","","","","","25568.75","","25568.75","140","7166.68","","7166.68","","","","","","","","","","","7166.68","0","7166.68","32735.43","","32735.43"
"6560","Bloc Québécois de Repentigny","2005","15835","","15835","130","14775","","14775","55","","","0","0","","","0","30610","0","30610","185","6939.25","","6939.25","","","0","","","0","","0","","0","6939.25","0","6939.25","37549.25","0","37549.25"
"10295","Bloc Québécois de Repentigny","2006","15820","","15820","89","6100","","6100","12","","","0","0","","","0","21920","0","21920","101","66523.76","","66523.76","100","","100","28057.82","","28057.82","","0","","0","94681.58","0","94681.58","116601.58","0","116601.58"
"3315","Bloc Québécois de Rivière-du-Nord","2004","7545","","7545","55","10810","","10810","42","","","","","","","","18355","","18355","97","23860.59","","23860.59","1626.29","","1626.29","5591.84","","5591.84","","","","","31078.72","","31078.72","49433.72","","49433.72"
"6550","Bloc Québécois de Rivière-du-Nord","2005","9845","","9845","98","7760","","7760","44","","","0","0","","","0","17605","0","17605","142","7425","","7425","","","0","","","0","","0","","0","7425","0","7425","25030","0","25030"
"10286","Bloc Québécois de Rivière-du-Nord","2006","12418","","12418","123","7473","","7473","36","","","","","","","","19891","","19891","159","1997.84","","1997.84","","","","33882.32","","33882.32","","","","","35880.16","","35880.16","55771.16","","55771.16"
"3294","Bloc Québécois de Saint-Bruno--Saint-Hubert","2004","31389.12","","31389.12","248","3960.6","","3960.6","13","894.22","","894.22","3","","","","","","","","","","","","","","","","","","","","","","","","35243.94","","35243.94"
"6140","Bloc Québécois de Saint-Bruno--Saint-Hubert","2005","22456.14","","22456.14","532","2685.4","","2685.4","15","1485","","1485","4","","","0","26626.54","0","26626.54","551","","","0","","","0","","","0","","0","","0","0","0","0","26626.54","0","26626.54"
"9877","Bloc Québécois de Saint-Bruno--Saint-Hubert","2006","24831.16","0","24831.16","189","2503.63","0","2503.63","9","1144.86","0","1144.86","5","0","0","0","28479.65","0","28479.65","203","6310.71","0","6310.71","0","0","0","0","0","0","0","0","0","0","6310.71","0","6310.71","34790.36","0","34790.36"
"3295","Bloc Québécois de Saint-Hyacinthe--Bagot","2004","18380.76","","18380.76","112","15000","","15000","70","","","","","","","","33380.76","","33380.76","182","4216.03","","4216.03","","","","43366.52","","43366.52","","","","","47582.55","","47582.55","80963.31","","80963.31"
"6161","Bloc Québécois de Saint-Hyacinthe--Bagot","2005","12981.1","","12981.1","93","7050","","7050","35","","","","","","","","20031.1","","20031.1","128","5301.47","","5301.47","","","","25000","","25000","","","","","30301.47","","30301.47","50332.57","","50332.57"
"9898","Bloc Québécois de Saint-Hyacinthe--Bagot","2006","8705","","8705","167","1925","","1925","9","","","","","","","","10630","","10630","176","3496.5","","3496.5","","","","9542.86","","9542.86","","","","","13039.36","","13039.36","23669.36","","23669.36"
"3296","Bloc Québécois de Saint-Jean","2004","11557","","11557","38","1500","","1500","2","","","","","","","","13057","","13057","40","4495.13","","4495.13","","","","18342.62","0","18342.62","","","","","22837.75","","22837.75","35894.75","","35894.75"
"6148","Bloc Québécois de Saint-Jean","2005","11780","","11780","126","5230","","5230","46","","","0","0","","","0","17010","0","17010","172","6055.75","","6055.75","24","","24","15000","","15000","","0","","0","21079.75","0","21079.75","38089.75","0","38089.75"
"9885","Bloc Québécois de Saint-Jean","2006","18500","","18500","139","6525","","6525","42","850","","850","2","","","","25875","","25875","183","3240.24","","3240.24","","","","885.46","","885.46","","","","","4125.7","","4125.7","30000.7","","30000.7"
"3299","Bloc Québécois de Terrebonne--Blainville","2004","14130","","14130","171","4020","","4020","11","","","","","","","","18150","","18150","182","2909.25","","2909.25","","","","","","","","","","","2909.25","","2909.25","21059.25","","21059.25"
"6138","Bloc Québécois de Terrebonne--Blainville","2005","20310.7","1910","22220.7","220","7698","9177.5","16875.5","123","","","","","","","","28008.7","11087.5","39096.2","343","5003.75","","5003.75","","","","7693.74","","7693.74","","","","","12697.49","","12697.49","40706.19","11087.5","51793.69"
"9875","Bloc Québécois de Terrebonne--Blainville","2006","17849","0","17849","127","6620.5","0","6620.5","38","0","0","0","0","0","0","0","24469.5","0","24469.5","165","501.52","0","501.52","0","0","0","0","0","0","0","0","0","0","501.52","0","501.52","24971.02","0","24971.02"
"3306","Bloc Québécois Drummond","2004","40150","","40150","569","","","0","0","","","0","0","","","0","40150","0","40150","569","4780","","4780","","","0","","","0","","0","","0","4780","0","4780","44930","0","44930"
"6152","Bloc Québécois Drummond","2005","25189.8","","25189.8","115","2467.32","","2467.32","11","","","0","0","","","0","27657.12","0","27657.12","126","16403.76","","16403.76","22000","","22000","82.15","","82.15","","0","","0","38485.91","0","38485.91","66143.03","0","66143.03"
"9889","Bloc Québécois Drummond","2006","16072","","16072","135","925","","925","4","","","","","","","","16997","","16997","139","1200.07","","1200.07","","","","22873.81","","22873.81","","","","","24073.88","","24073.88","41070.88","","41070.88"
"3310","Bloc Québécois Hochelaga","2004","14568","","14568","342","1900","","1900","16","200","","200","1","","","","16668","","16668","359","3038.99","","3038.99","","","","426.2","","426.2","","","","","3465.19","","3465.19","20133.19","","20133.19"
"6134","Bloc Québécois Hochelaga","2005","11575.98","","11575.98","267","150","","150","1","","","0","0","","","0","11725.98","0","11725.98","268","16923.16","","16923.16","","","0","","","0","","0","","0","16923.16","0","16923.16","28649.14","0","28649.14"
"9871","Bloc Québécois Hochelaga","2006","13295","0","13295","155","0","0","0","0","0","0","0","0","150","150","1","13445","0","13445","156","10322.04","0","10322.04","0","0","0","16665.97","0","16665.97","0","0","0","0","26988.01","0","26988.01","40433.01","0","40433.01"
"3313","Bloc Québécois Jonquière--Alma","2004","370","","370","6","200","","200","2","","","","","","","","570","","570","8","5808.58","","5808.58","","","","","","","","","","","5808.58","","5808.58","6378.58","","6378.58"
"6154","Bloc Québécois Jonquière--Alma","2005","24435","0","","","4070","","","","","","","","","","","28505","","","","9470.72","","","500","","","","","","","","","","9970.72","","","38475.72","",""
"9891","Bloc Québécois Jonquière--Alma","2006","6735","","6735","23","","","","","","","","","","","","6735","","6735","23","2105.8","","2105.8","","","","1490.08","","1490.08","","","","","3595.88","","3595.88","10330.88","","10330.88"
"3284","Bloc Québécois La Pointe-de-l'Île","2004","19670","","19670","641","2550","","2550","6","","","","","","","","22220","","22220","647","6061.76","","6061.76","","","","","","","","","","","6061.76","","6061.76","28281.76","","28281.76"
"6162","Bloc Québécois La Pointe-de-l'Île","2005","22597","","22597","162","2825","","2825","10","","","0","0","","","0","25422","0","25422","172","9130","","9130","","","0","6694.99","","6694.99","","0","","0","15824.99","0","15824.99","41246.99","0","41246.99"
"9899","Bloc Québécois La Pointe-de-l'Île","2006","7285","","7285","39","","","","","","","","","","","","7285","","7285","39","1787.1","","1787.1","","","","32816.74","","32816.74","","","","","34603.84","","34603.84","41888.84","","41888.84"
"3307","Bloc Québécois Mégantic--L'Érable","2004","15980","","15980","135","3360","","3360","25","","","0","0","","","0","19340","0","19340","160","701.4","","701.4","","","0","","","0","","0","","0","701.4","0","701.4","20041.4","0","20041.4"
